"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Count","Nsites","Density (gm/cc)","Volume","Has Bandstructure","Crystal System",""
"mp-771900","Li3AlCoO4","I41/a","-2.346","0.03","1.946","11","72","2.97","763.683","true","tetragonal",""
"mp-770726","Li9Al(CoO4)2","Pnma","-2.091","0.058","2.329","","80","2.887","771.359","true","orthorhombic",""
"mp-769801","Li2AlCoO4","Pc","-2.381","0.058","1.691","","16","3.129","173.835","true","monoclinic",""
"mp-770090","LiAlCoO3","P1","-2.449","0.059","2.194","","12","3.746","124.891","true","triclinic",""
"mp-770553","Li2AlCoO4","Pna21","-2.376","0.063","1.609","","32","3.163","343.915","true","orthorhombic",""
"mp-769760","Li2AlCoO4","Pmn21","-2.376","0.063","1.772","","16","3.166","171.829","true","orthorhombic",""
"mp-769769","Li2AlCoO4","C2221","-2.375","0.064","1.639","","16","3.037","179.097","true","orthorhombic",""
"mp-771906","Li2AlCoO4","P21/c","-2.371","0.069","1.569","","32","3.08","353.269","true","monoclinic",""
"mp-770610","Li2AlCoO4","P21/c","-2.369","0.07","1.685","","32","3.077","353.531","true","monoclinic",""
"mp-770550","Li2AlCoO4","Pnma","-2.366","0.073","1.696","","32","3.066","354.886","true","orthorhombic",""
"mp-853274","Li2AlCoO4","P21/c","-2.359","0.08","0.917","","32","3.375","322.322","true","monoclinic",""
"mp-761730","LiCo3CuO8","C2/m","-1.223","0.04","0.000","17","13","4.508","138.227","true","monoclinic",""
"mp-770184","Li3Co(CuO2)4","C2/m","-1.371","0.041","0.000","","16","5.257","145.909","true","monoclinic",""
"mp-767275","Li2CoCuO4","Imma","-1.576","0.044","0.000","","16","4.872","136.578","true","orthorhombic",""
"mp-761783","Li5Co2Cu3O10","P1","-1.531","0.055","0.000","","20","4.704","177.629","true","triclinic",""
"mp-767935","LiCoCuO4","P1","-1.282","0.063","0.000","","14","4.741","135.491","true","triclinic",""
"mp-767908","LiCo2CuO6","Cm","-1.238","0.064","0.199","","10","4.601","102.635","true","monoclinic",""
"mp-764366","LiCoCuO4","P2/m","-1.279","0.066","0.000","","7","4.712","68.163","true","monoclinic",""
"mp-764235","Li3Co2Cu3O10","P1","-1.303","0.067","0.000","","18","4.618","175.956","false","triclinic",""
"mp-773165","Li4Co5CuO12","C2/m","-1.511","0.071","0.078","","22","4.605","208.422","true","monoclinic",""
"mp-775052","Li2CoCuO4","I4m2","-1.547","0.072","0.000","","8","4.782","69.578","true","tetragonal",""
"mp-763314","LiCo2CuO6","C2/m","-1.229","0.072","0.000","","10","4.597","102.707","true","monoclinic",""
"mp-771506","Li5Co2Cu5O12","C2","-1.401","0.08","0.000","","24","5.128","214.478","true","monoclinic",""
"mp-767299","Li3Co2CuO6","C2/m","-1.574","0.1","0.000","","12","4.56","108.596","true","monoclinic",""
"mp-766614","Li5Co5(CuO6)2","C2","-1.537","0.107","0.000","","24","5.145","209.286","true","monoclinic",""
"mp-768017","Li4Co3CuO8","R3m","-1.592","0.109","0.000","","16","4.563","144.137","true","trigonal",""
"mp-772697","Li3Co4CuO8","C2/m","-1.512","0.116","0.000","","16","5.411","137.505","true","monoclinic",""
"mp-769624","Li3Co3CuO8","R3m","-1.448","0.144","0.000","","15","4.514","143.157","true","trigonal",""
"mp-769537","Li14MgCo13O28","P1","-1.825","0.006","0.016","5","56","4.805","461.526","false","triclinic",""
"mp-773461","Li4MgCo3O8","R3m","-1.925","0.027","0.000","","16","4.427","133.858","true","trigonal",""
"mp-764439","Li2MgCo13O28","P1","-1.31","0.031","0.927","","44","4.259","488.229","true","triclinic",""
"mp-769527","Li2MgCo13O28","P1","-1.299","0.043","1.053","","44","4.351","477.882","true","triclinic",""
"mp-778042","Li8MgCo13O28","P1","-1.545","0.103","0.339","","50","4.275","502.559","false","triclinic",""
"mp-868358","Li4CoNi3O8","C2/m","-1.479","0","0.069","50","16","4.698","138.12","true","monoclinic",""
"mp-765279","Li10CoNi9O20","P1","-1.416","0","0.478","","40","4.802","337.696","true","triclinic",""
"mp-776511","LiCoNiO4","Imma","-1.333","0","0.000","","14","4.792","130.69","true","orthorhombic",""
"mp-769507","Li10CoNi9O20","P2/m","-1.415","0.001","0.000","","40","4.773","339.735","true","monoclinic",""
"mp-762296","Li2Co3NiO8","P4332","-1.445","0.001","0.000","","56","4.819","520.138","true","cubic",""
"mp-769555","Li10Co3Ni7O20","P1","-1.495","0.005","0.214","","40","4.765","340.479","false","triclinic",""
"mp-765786","Li2CoNiO4","Imma","-1.577","0.006","0.000","","16","4.768","136.182","true","orthorhombic",""
"mp-773251","Li5Co2Ni3O10","P1","-1.536","0.006","0.223","","20","4.731","171.498","false","triclinic",""
"mp-774300","Li3CoNi3O8","P1","-1.348","0.007","0.206","","45","4.685","408.138","false","triclinic",""
"mp-868138","Li4Co3NiO8","R3m","-1.679","0.007","0.000","","16","4.855","133.809","true","trigonal",""
"mp-765538","Li3Co2NiO6","C2/m","-1.645","0.007","0.000","","12","4.848","100.497","true","monoclinic",""
"mp-769860","Li2Co3NiO8","P63mc","-1.439","0.007","0.933","","28","4.815","260.275","true","hexagonal",""
"mp-771783","Li3Co(NiO3)2","C2/m","-1.506","0.007","0.000","","12","4.716","103.223","true","monoclinic",""
"mp-775285","Li2CoNi3O8","P212121","-1.202","0.008","0.000","","56","4.622","541.619","true","orthorhombic",""
"mp-771785","Li3Co(NiO2)4","C2/m","-1.361","0.008","0.000","","16","5.28","139.165","true","monoclinic",""
"mp-769553","Li5Co2Ni3O10","P2/m","-1.529","0.013","0.000","","40","4.814","337.072","true","monoclinic",""
"mp-761738","Li2Co3NiO8","R3m","-1.432","0.015","0.000","","14","4.886","128.249","true","trigonal",""
"mp-779959","Li3Co2(NiO4)2","P1","-1.451","0.015","0.000","","15","4.713","135.331","true","triclinic",""
"mp-761777","Li2CoNi3O8","R3m","-1.194","0.016","0.000","","14","4.771","131.163","true","trigonal",""
"mp-778575","Li4Co3(NiO4)3","P1","-1.407","0.017","0.000","","22","4.626","205.565","true","triclinic",""
"mp-765439","Li3CoNi3O8","R3m","-1.335","0.019","0.000","","15","4.623","137.87","true","trigonal",""
"mp-850772","Li8CoNi9O20","Pm","-1.291","0.022","0.000","","76","4.601","694.826","false","monoclinic",""
"mp-780678","Li4Co2Ni3O10","P2/m","-1.425","0.023","0.000","","38","4.685","341.502","true","monoclinic",""
"mp-765798","Li2CoNiO4","P2/m","-1.558","0.025","0.000","","8","4.637","70.011","true","monoclinic",""
"mp-778768","Li2Co3NiO8","C2/m","-1.417","0.029","0.000","","14","4.65","134.773","true","monoclinic",""
"mp-779166","LiCo3NiO8","R3m","-1.219","0.031","0.000","","13","4.399","139.824","true","trigonal",""
"mp-779977","Li2Co3NiO8","C2/m","-1.415","0.032","0.000","","14","4.742","132.157","true","monoclinic",""
"mp-772319","Li4Co3Ni5O16","Cm","-1.239","0.032","0.671","","28","4.832","259.127","true","monoclinic",""
"mp-766767","Li5Co2Ni5O12","C2","-1.407","0.034","0.000","","24","5.16","205.335","true","monoclinic",""
"mp-868421","Li6CoNi5O12","P1","-1.41","0.034","0.195","","24","4.548","213.989","true","triclinic",""
"mp-775263","Li6CoNi9O20","C2/m","-1.16","0.038","0.000","","36","4.543","346.821","true","monoclinic",""
"mp-765694","Li3Co(NiO3)2","C2/c","-1.466","0.048","0.000","","24","4.638","209.903","true","monoclinic",""
"mp-774305","LiCo2NiO6","P1","-1.235","0.049","0.608","","10","4.613","100.601","true","triclinic",""
"mp-764017","Li3Co3NiO8","P63mc","-1.522","0.052","0.000","","30","5.007","254.907","true","hexagonal",""
"mp-779900","Li4Co2Ni3O10","P1","-1.395","0.053","0.000","","19","4.694","170.406","true","triclinic",""
"mp-763751","LiCoNiO4","Imma","-1.272","0.06","0.000","","14","4.644","134.851","true","orthorhombic",""
"mp-772703","Li4CoNi5O12","C2","-1.208","0.061","0.188","","22","4.515","210.436","true","monoclinic",""
"mp-772680","Li4Co5NiO12","C2/m","-1.506","0.064","0.000","","22","4.635","205.307","true","monoclinic",""
"mp-771085","Li3Co4NiO8","C2/m","-1.557","0.065","0.000","","16","5.4","136.289","true","monoclinic",""
"mp-761662","Li2Co(NiO3)2","Aea2","-1.282","0.066","0.260","","22","4.657","204.091","true","orthorhombic",""
"mp-763964","Li6Co3Ni5O16","Cm","-1.345","0.066","0.000","","30","4.937","258.299","true","monoclinic",""
"mp-764134","Li6Co5Ni3O16","Cm","-1.451","0.07","0.000","","30","4.982","256.101","true","monoclinic",""
"mp-761608","Li2CoNiO4","I4m2","-1.513","0.07","0.000","","8","4.752","68.318","true","tetragonal",""
"mp-764661","Li3CoNi3O8","P31c","-1.284","0.07","0.000","","30","4.893","260.535","true","trigonal",""
"mp-771437","Li5Co3(NiO5)2","P1","-1.553","0.071","0.000","","20","4.881","166.327","true","triclinic",""
"mp-778695","Li3Co3NiO8","C2/m","-1.501","0.073","0.000","","15","4.501","141.796","true","monoclinic",""
"mp-772632","Li4Co5Ni3O16","Cm","-1.31","0.079","0.000","","28","5.026","249.301","true","monoclinic",""
"mp-766793","Li5Co5(NiO6)2","P1","-1.539","0.101","0.320","","24","5.117","207.264","false","triclinic",""
"mp-764388","Li8Co3NiO8","P1","-1.675","0.115","1.962","","20","3.457","201.272","true","triclinic",""
"mp-767944","Li3Co3NiO8","R3m","-1.445","0.129","0.000","","15","4.547","140.351","true","trigonal",""
"mp-774082","Li(CoO2)2","P21","-1.56","0","0.628","100","56","4.783","524.343","false","monoclinic",""
"mp-18925","Li6CoO4","P42/nmc","-1.958","0","2.400","","22","2.685","203.592","true","tetragonal",""
"mp-31531","Li8CoO6","P63cm","-1.967","0","1.076","","30","2.399","291.341","true","hexagonal",""
"mp-24850","LiCoO2","R3m","-1.782","0","0.662","","4","4.976","32.66","true","trigonal",""
"mp-765070","Li5CoO4","Pbca","-1.968","0","1.601","","80","2.689","778.761","true","orthorhombic",""
"mp-771536","Li7Co5O12","C2/m","-1.795","0","0.060","","24","4.507","197.183","false","monoclinic",""
"mp-853206","Li3(CoO2)4","R3m","-1.67","0.009","0.000","","15","4.809","132.784","true","trigonal",""
"mp-780888","Li(CoO2)4","R3m","-1.352","0.013","0.000","","13","4.509","136.505","true","trigonal",""
"mp-777836","Li14Co13O28","P1","-1.744","0.015","0.329","","55","4.746","458.786","false","triclinic",""
"mp-771191","Li5Co7O16","P21","-1.536","0.017","0.588","","56","4.359","535.794","true","monoclinic",""
"mp-775097","Li2CoO2","P3m1","-1.772","0.019","2.549","","5","3.944","44.13","true","trigonal",""
"mp-775093","Li5CoO4","Aea2","-1.949","0.019","1.508","","20","2.666","196.372","true","orthorhombic",""
"mp-776979","Li9(CoO4)2","Pca21","-1.91","0.021","0.678","","76","2.603","786.86","true","orthorhombic",""
"mvc-16807","Li3(CoO2)4","C2/m","-1.657","0.022","0.000","","15","4.835","132.058","false","monoclinic",""
"mp-769483","Li11(CoO4)2","C2221","-1.939","0.024","0.289","","42","2.645","404.51","true","orthorhombic",""
"mp-763622","Li2(CoO2)3","Cc","-1.615","0.026","1.054","","22","4.757","200.153","false","monoclinic",""
"mp-769791","Li4CoO3","Cc","-1.879","0.027","2.411","","16","2.721","164.416","true","monoclinic",""
"mvc-16812","Li(CoO2)4","C2/m","-1.335","0.031","0.021","","13","4.545","135.422","false","monoclinic",""
"mp-762472","Li9Co13O28","P1","-1.563","0.032","0.048","","50","4.599","460.897","true","triclinic",""
"mp-690149","Li(CoO2)8","P1","-1.224","0.033","0.165","","25","4.488","271.738","false","triclinic",""
"mp-850954","Li21(CoO4)4","Pc","-1.933","0.033","0.438","","82","2.635","803.617","false","monoclinic",""
"mp-762036","Li(CoO2)2","Pbcn","-1.528","0.033","0.000","","28","4.515","277.738","true","orthorhombic",""
"mp-997525","Li4Co15O28","P1","-1.397","0.034","0.861","","47","4.712","479.194","false","triclinic",""
"mp-764999","Li2(CoO2)3","C2/m","-1.607","0.034","0.000","","11","4.821","98.736","true","monoclinic",""
"mp-769847","Li(CoO2)2","Pmmn","-1.526","0.035","0.000","","28","4.541","276.165","true","orthorhombic",""
"mp-769436","Li5(CoO2)8","P1","-1.587","0.035","0.333","","58","4.653","543.966","false","triclinic",""
"mp-762605","Li9Co13O28","P1","-1.56","0.035","0.011","","50","4.603","460.489","true","triclinic",""
"mp-705640","Li20Co21O40","P1","-1.725","0.036","1.379","","81","4.93","679.155","false","triclinic",""
"mp-769852","Li3CoO3","P1","-1.877","0.038","1.229","","14","3.007","141.08","true","triclinic",""
"mp-773128","Li10Co4O9","P1","-1.789","0.041","1.399","","46","3.092","482.403","true","triclinic",""
"mp-765047","Li(CoO2)4","R3m","-1.323","0.042","0.000","","13","4.764","129.2","true","trigonal",""
"mp-699137","Li4(CoO2)7","P1","-1.553","0.043","0.787","","25","4.425","249.259","true","triclinic",""
"mp-771219","Li(CoO2)2","R3m","-1.515","0.045","0.592","","14","4.675","134.12","true","trigonal",""
"mp-763697","Li(CoO2)3","C2/m","-1.387","0.047","0.000","","10","4.636","100.188","true","monoclinic",""
"mp-771197","Li4Co7O16","P21","-1.433","0.047","0.410","","54","4.379","528.022","false","monoclinic",""
"mp-763412","Li4Co13O28","P1","-1.3","0.05","0.456","","45","4.402","468.478","false","triclinic",""
"mp-763684","Li8(CoO2)5","P1","-1.736","0.051","0.038","","23","3.306","256.275","false","triclinic",""
"mp-763322","Li4CoO4","Pc","-1.824","0.053","0.000","","72","2.547","786.084","true","monoclinic",""
"mp-771244","Li4Co13O28","P1","-1.297","0.054","0.402","","45","4.361","472.861","false","triclinic",""
"mp-775446","Li3(CoO2)5","P1","-1.555","0.055","0.264","","36","4.587","344.287","true","triclinic",""
"mp-776148","Li20Co21O40","I4","-1.705","0.055","0.002","","81","4.99","670.973","true","tetragonal",""
"mp-868342","Li4Co5O12","P1","-1.495","0.055","0.019","","21","4.215","202.686","true","triclinic",""
"mp-773454","Li5CoO4","Pnnm","-1.912","0.056","1.407","","40","2.768","378.243","true","orthorhombic",""
"mp-705847","Li2(CoO2)3","P1","-1.584","0.057","0.000","","22","4.672","203.767","true","triclinic",""
"mp-763312","Li4CoO4","Pnnm","-1.82","0.058","1.237","","36","2.563","390.458","true","orthorhombic",""
"mp-771481","Li(CoO2)2","P63mc","-1.502","0.059","0.000","","28","4.961","252.8","true","hexagonal",""
"mp-779983","Li7(CoO3)2","P1","-1.851","0.061","0.999","","15","2.981","146.186","true","triclinic",""
"mp-553952","Li(CoO2)2","P2/m","-1.499","0.061","0.411","","7","4.688","66.877","false","monoclinic",""
"mvc-16808","Li(CoO2)2","P2/m","-1.499","0.061","0.304","","7","4.655","67.347","false","monoclinic",""
"mp-776004","Li4CoO4","Pm","-1.816","0.062","1.220","","18","2.508","199.541","true","monoclinic",""
"mp-771225","Li17(CoO4)4","Pm","-1.846","0.062","0.774","","37","2.588","391.151","true","monoclinic",""
"mp-773572","LiCo6O7","R3","-1.396","0.063","0.000","","14","5.82","134.82","true","trigonal",""
"mp-772385","LiCo8O9","P1","-1.367","0.064","0.000","","18","5.953","173.621","true","triclinic",""
"mp-853240","LiCoO2","Imma","-1.717","0.065","0.000","","16","4.691","138.594","true","orthorhombic",""
"mp-771226","Li9(CoO4)2","P2/m","-1.866","0.065","0.575","","38","2.66","384.892","true","monoclinic",""
"mp-781073","Li5CoO4","Pbca","-1.901","0.067","1.519","","80","2.626","797.32","true","orthorhombic",""
"mp-766743","LiCo15O16","P1","-1.319","0.067","0.000","","32","6.093","312.551","false","triclinic",""
"mp-767934","Li3Co13O16","P1","-1.43","0.07","0.000","","32","5.752","301.077","true","triclinic",""
"mp-764688","Li4CoO4","Pc","-1.807","0.071","0.000","","72","2.494","802.827","true","monoclinic",""
"mp-763310","LiCo5O8","P4332","-1.417","0.071","0.000","","56","5.342","534.164","true","cubic",""
"mp-771227","Li19(CoO4)4","Pm","-1.876","0.074","0.290","","39","2.724","380.177","true","monoclinic",""
"mp-763311","Li4CoO4","Pc","-1.803","0.074","0.980","","72","2.586","774.038","true","monoclinic",""
"mp-868302","Li3Co13O16","P1","-1.424","0.076","0.017","","32","5.756","300.858","false","triclinic",""
"mp-763702","Li(CoO2)2","Imma","-1.485","0.076","0.006","","14","4.846","129.405","false","orthorhombic",""
"mp-761816","Li3Co11O14","C2/m","-1.447","0.077","1.055","","28","5.69","260.633","false","monoclinic",""
"mp-775089","Li9(CoO4)2","C2","-1.854","0.077","0.617","","19","2.637","194.177","true","monoclinic",""
"mp-38489","LiCo7O8","Fm3m","-1.366","0.077","1.225","","16","5.917","153.642","false","cubic",""
"mp-764768","Li7(CoO3)2","P1","-1.833","0.078","0.896","","15","2.602","167.498","false","triclinic",""
"mp-853159","Li7(CoO3)2","P1","-1.832","0.079","1.131","","15","2.917","149.397","true","triclinic",""
"mp-771200","LiCo3O4","Cmmm","-1.477","0.079","0.000","","8","5.395","76.257","true","orthorhombic",""
"mp-779940","Li4CoO4","Pbca","-1.797","0.081","1.187","","72","2.571","778.581","true","orthorhombic",""
"mp-868388","LiCoO2","P1","-1.702","0.081","0.397","","20","4.851","167.512","false","triclinic",""
"mp-851074","Li4(CoO2)9","Pbam","-1.437","0.082","0.016","","62","4.781","587.768","false","orthorhombic",""
"mp-997539","Li(CoO2)3","P1","-1.35","0.083","0.620","","20","4.364","212.886","false","triclinic",""
"mp-773208","Li7Co5O12","C2","-1.71","0.084","0.409","","24","4.463","199.143","true","monoclinic",""
"mp-763627","Li17(Co4O9)2","P1","-1.746","0.086","0.924","","43","3.068","474.966","true","triclinic",""
"mp-850944","Li21(Co4O9)2","P1","-1.743","0.087","0.955","","47","3.07","489.669","true","triclinic",""
"mp-772003","Li5Co7O12","C2","-1.617","0.09","0.000","","24","5.098","208.212","true","monoclinic",""
"mp-763696","Li5(CoO3)2","P1","-1.771","0.09","0.950","","13","2.832","145.771","true","triclinic",""
"mp-763202","Li4CoO4","P42212","-1.787","0.09","0.994","","18","2.692","185.891","true","tetragonal",""
"mp-773514","Li2CoO3","Pnnm","-1.672","0.094","1.158","","24","3.065","261.774","true","orthorhombic",""
"mp-765519","Li5(CoO2)4","P1","-1.691","0.094","0.611","","68","4.701","562.974","true","triclinic",""
"mp-762878","Li9Co15O28","P1","-1.549","0.095","0.190","","52","4.679","494.871","false","triclinic",""
"mp-763189","Li2CoO3","P42/mnm","-1.671","0.095","1.154","","24","2.958","271.247","true","tetragonal",""
"mp-768062","Li13Co15O28","P1","-1.655","0.095","0.118","","56","4.687","503.897","false","triclinic",""
"mp-735506","Li9Co9O17","P1","-1.663","0.095","0.647","","35","4.395","326.74","false","triclinic",""
"mp-780140","Li5(CoO2)4","P63mc","-1.688","0.097","0.590","","34","4.795","275.976","true","hexagonal",""
"mp-763750","Li3(CoO2)4","R3m","-1.581","0.098","0.000","","15","4.726","135.121","true","trigonal",""
"mp-868637","Li7(CoO3)2","C2/c","-1.812","0.099","0.287","","30","2.947","295.764","true","monoclinic",""
"mp-764781","Li3(CoO2)4","P1","-1.577","0.101","0.000","","15","4.726","135.13","true","triclinic",""
"mp-25471","Li(CoO2)2","Fd3m","-1.457","0.104","0.000","","14","4.554","137.701","true","cubic",""
"mp-771636","Li(CoO2)2","R3m","-1.455","0.105","0.000","","7","4.85","64.647","true","trigonal",""
"mp-764182","Li6(CoO2)5","P1","-1.679","0.105","0.000","","21","3.211","256.697","true","triclinic",""
"mp-850160","Li7(CoO3)2","P4n2","-1.804","0.107","0.409","","30","3.045","286.289","false","tetragonal",""
"mp-868417","Li3CoO3","P42/mnm","-1.805","0.11","1.208","","28","3.067","276.719","true","tetragonal",""
"mp-774239","Li(CoO2)2","P4322","-1.43","0.13","0.000","","28","4.765","263.197","true","tetragonal",""
"mp-764935","Li(CoO2)2","P1","-1.421","0.139","0.000","","14","4.428","141.593","true","triclinic",""
"mp-765899","LiCoO2","P63mc","-1.642","0.141","0.895","","8","4.408","73.736","true","hexagonal",""
"mp-774134","Li2CoO2","Immm","-1.648","0.143","0.882","","5","3.582","48.593","true","orthorhombic",""
"mp-690530","Li2Co4O5","Cm","-1.38","0.16","0.609","","33","5.124","320.446","false","monoclinic",""
"mp-772468","Li2Cr3(CoO6)2","Pbcn","-1.792","0","1.779","47","76","3.002","1061.471","false","orthorhombic",""
"mp-770264","Li4Cr3CoO8","P1","-2.238","0.007","0.860","","32","4.301","286.248","true","triclinic",""
"mp-770355","Li4Cr3CoO8","P1","-2.238","0.007","0.000","","32","4.301","286.215","true","triclinic",""
"mp-770340","Li4Cr3CoO8","P1","-2.237","0.008","0.886","","16","4.292","143.418","true","triclinic",""
"mp-770234","Li4Cr3CoO8","P1","-2.237","0.008","0.830","","32","4.301","286.208","true","triclinic",""
"mp-770255","Li4Cr3CoO8","P1","-2.237","0.008","0.806","","32","4.301","286.248","true","triclinic",""
"mp-771058","Li4Cr3CoO8","P1","-2.237","0.008","0.594","","32","4.292","286.828","true","triclinic",""
"mp-769744","Li4Cr3CoO8","C2/m","-2.237","0.008","0.853","","16","4.287","143.597","true","monoclinic",""
"mp-761831","Li3Cr(CoO3)2","C2/m","-1.979","0.008","0.631","","12","4.624","102.954","true","monoclinic",""
"mp-769750","Li4Cr3CoO8","C2/m","-2.236","0.009","0.585","","16","4.287","143.597","true","monoclinic",""
"mp-765927","Li2CrCoO4","Imma","-2.076","0.014","0.308","","16","4.537","138.21","true","orthorhombic",""
"mp-765438","Li3Cr3CoO8","R3m","-2.167","0.019","0.978","","15","4.148","145.624","true","trigonal",""
"mp-773157","Li9Cr12Co7O48","P1","-1.781","0.024","0.258","","76","3.432","903.311","false","triclinic",""
"mp-764806","Li3CrCo3O8","C2/m","-1.829","0.027","0.225","","15","4.6","136.306","true","monoclinic",""
"mp-769741","Li4Cr3CoO8","P2/m","-2.212","0.033","0.787","","16","4.216","145.992","true","monoclinic",""
"mp-762609","Li2CrCo3O8","C2","-1.725","0.038","0.000","","56","4.578","537.789","true","monoclinic",""
"mp-763181","LiCrCo3O8","R3m","-1.544","0.038","0.000","","13","4.336","139.282","true","trigonal",""
"mp-762011","LiCrCoO4","Imma","-1.901","0.039","0.563","","14","4.337","139.269","true","orthorhombic",""
"mp-766809","Li3Cr2CoO6","C2/m","-2.154","0.04","0.777","","12","4.22","110.088","true","monoclinic",""
"mp-769711","Li3Cr3CoO8","P1","-2.145","0.041","0.377","","30","4.227","285.777","false","triclinic",""
"mp-769795","Li3Cr(CoO2)4","C2/m","-1.782","0.041","0.000","","16","5.067","143.072","true","monoclinic",""
"mp-762918","Li2Cr2CoO6","C2/m","-2.065","0.043","0.653","","11","4.181","108.353","true","monoclinic",""
"mp-761748","Li2CrCo3O8","R3m","-1.716","0.046","0.000","","14","4.578","134.441","true","trigonal",""
"mp-766712","Li2CrCo3O8","P63mc","-1.709","0.054","0.000","","28","4.706","261.598","true","hexagonal",""
"mp-763184","Li3Cr3CoO8","C2/m","-2.13","0.055","0.769","","15","4.22","143.123","false","monoclinic",""
"mp-763111","Li4Cr3(CoO4)3","P1","-1.939","0.057","0.750","","22","4.258","215.477","true","triclinic",""
"mp-763135","Li2Cr2CoO6","P1","-2.045","0.063","0.000","","33","4.25","319.746","true","triclinic",""
"mp-775237","Li5Cr2Co3O10","P1","-1.966","0.063","0.000","","20","4.511","175.016","true","triclinic",""
"mp-765784","Li2CrCoO4","P2/m","-2.026","0.064","0.011","","8","4.283","73.195","true","monoclinic",""
"mp-850480","Li3CrCo3O8","R3m","-1.79","0.066","0.000","","15","4.621","135.684","true","trigonal",""
"mp-761675","Li2Cr3CoO8","R3m","-2.052","0.066","0.590","","14","4.089","144.897","true","trigonal",""
"mp-772007","Li2Cr3CoO8","R3m","-2.051","0.067","0.000","","14","4.074","145.416","true","trigonal",""
"mp-763114","Li3Cr2(CoO4)2","C2/m","-1.953","0.068","0.900","","15","4.493","136.985","true","monoclinic",""
"mp-779929","LiCr(CoO3)2","C2/m","-1.645","0.071","0.000","","10","4.292","105.535","true","monoclinic",""
"mp-771505","Li4CrCo5O12","C2/m","-1.692","0.078","0.148","","22","4.5","209.029","true","monoclinic",""
"mp-769974","Li2Cr3CoO8","P1","-2.04","0.078","0.512","","28","4.064","291.545","true","triclinic",""
"mp-763109","Li2Cr3(CoO4)3","P1","-1.77","0.08","0.226","","20","4.158","215.123","true","triclinic",""
"mp-766730","Li3Cr3(CoO6)2","P21/c","-1.823","0.081","0.819","","80","3.196","1011.283","true","monoclinic",""
"mp-773221","Li5Cr2Co5O12","C2","-1.83","0.082","0.000","","24","4.7","220.953","true","monoclinic",""
"mp-763336","Li2Cr3CoO8","C2/m","-2.035","0.083","0.602","","14","4.07","145.566","true","monoclinic",""
"mp-761651","Li2Cr(CoO3)2","Cmce","-1.8","0.083","0.000","","22","4.401","211.101","true","orthorhombic",""
"mp-765937","Li4CrCo3O8","R3m","-1.849","0.087","0.330","","16","4.424","144.356","true","trigonal",""
"mp-763185","Li2CrCo3O8","C2/m","-1.672","0.09","0.401","","14","4.313","142.715","true","monoclinic",""
"mp-771854","Li4Cr5Co3O16","P1","-1.935","0.094","0.047","","28","4.313","277.427","true","triclinic",""
"mp-763359","LiCr2CoO6","Cm","-1.871","0.103","0.490","","10","4.106","107.518","true","monoclinic",""
"mp-770000","Li2CrCoO4","I4m2","-1.979","0.112","0.000","","8","4.562","68.721","true","tetragonal",""
"mp-770878","Li4Cr3Co5O16","P1","-1.732","0.119","0.041","","28","4.433","275.127","false","triclinic",""
"mp-771793","Li4Cr3CuO8","R3m","-2.151","0.015","0.000","15","16","4.254","146.492","true","trigonal",""
"mp-997512","Li3Cr2CuO6","C2/m","-2.067","0.022","0.412","","12","4.351","108.526","true","monoclinic",""
"mp-773344","Li2CrCuO4","Imma","-1.898","0.035","0.000","","16","4.442","144.628","true","orthorhombic",""
"mp-769804","Li3Cr(CuO2)4","C2/m","-1.536","0.037","0.000","","16","4.965","152.168","true","monoclinic",""
"mp-766740","Li6Cr5CuO12","C2/m","-2.199","0.045","0.410","","24","4.166","222.106","true","monoclinic",""
"mp-769959","Li4CrCu3O8","R3m","-1.643","0.055","0.000","","16","4.648","142.332","true","trigonal",""
"mp-770587","Li3Cr3CuO8","R3m","-2.053","0.057","0.000","","15","4.228","144.661","true","trigonal",""
"mp-774351","Li3Cr3(CuO6)2","P21/c","-1.719","0.059","0.000","","80","3.232","1019.143","false","monoclinic",""
"mp-777277","Li2Cr3CuO8","P21","-1.969","0.059","0.525","","56","4.138","580.085","true","monoclinic",""
"mp-770005","Li5Cr2Cu3O10","P1","-1.78","0.06","0.176","","20","4.394","184.941","true","triclinic",""
"mp-773309","Li2CrCuO4","P2/m","-1.873","0.061","0.000","","8","4.437","72.391","true","monoclinic",""
"mp-780873","Li2Cr3CuO8","R3m","-1.962","0.067","0.000","","14","4.109","146.047","true","trigonal",""
"mp-765795","Li2Cr3CuO8","R3m","-1.949","0.079","0.000","","14","4.164","144.136","true","trigonal",""
"mp-769965","Li2Cr3CuO8","Cc","-1.942","0.086","0.220","","28","4.239","283.141","true","monoclinic",""
"mp-773227","Li5Cr2Cu5O12","C2","-1.604","0.088","0.000","","24","4.786","224.971","true","monoclinic",""
"mp-771093","Li3Cr10Fe5O24","Cm","-2.226","0","1.412","74","42","4.387","455.757","true","monoclinic",""
"mp-770076","Li4CrFe3O8","P1","-2.157","0","1.847","","32","4.145","300.676","true","triclinic",""
"mp-771082","Li4CrFe3O8","P1","-2.156","0.001","1.713","","32","4.151","300.252","true","triclinic",""
"mp-770230","Li4CrFe3O8","P1","-2.156","0.001","1.680","","32","4.118","302.661","true","triclinic",""
"mp-770145","Li4CrFe3O8","P1","-2.156","0.001","0.000","","32","4.124","302.222","true","triclinic",""
