"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Count","Nsites","Density (gm/cc)","Volume","Has Bandstructure","Crystal System",""
"mp-772054","LiMnVO4","Imma","-2.29","0.097","0.000","","14","3.927","149.529","true","orthorhombic",""
"mp-776140","Li2MnV5O12","C2","-2.367","0.099","0.000","","20","3.314","258.307","true","monoclinic",""
"mp-771529","Li4MnV3O8","P1","-2.329","0.102","0.935","","16","3.142","192.103","true","triclinic",""
"mp-762879","Li2MnV2O6","P1","-2.341","0.104","0.817","","22","3.887","227.887","true","triclinic",""
"mp-868354","Li3MnV3O8","Cm","-2.361","0.112","0.407","","15","3.678","160.981","false","monoclinic",""
"mp-762584","Li3Mn2V5O12","C2","-2.34","0.118","0.480","","22","4.108","233.401","true","monoclinic",""
"mp-771631","LiVNiO4","Imma","-2.039","0.001","2.558","19","14","4.193","143.017","true","orthorhombic",""
"mp-780215","LiVNiO4","Cmcm","-2.031","0.009","3.004","","14","3.915","153.173","false","orthorhombic",""
"mp-769574","Li7V6Ni5O24","P1","-2.068","0.017","0.000","","42","4.011","427.117","false","triclinic",""
"mp-772343","LiVNiO4","Pnma","-2.014","0.026","2.856","","28","3.889","308.424","true","orthorhombic",""
"mp-777896","Li2V3NiO8","P31c","-2.256","0.039","1.648","","28","4.043","290.302","true","trigonal",""
"mp-772005","Li3V4NiO12","P1","-2.246","0.064","0.078","","20","3.987","197.939","true","triclinic",""
"mp-767023","Li2VNiO4","Imma","-2.08","0.069","1.675","","16","4.265","145.999","true","orthorhombic",""
"mp-771792","Li3V4NiO12","C2","-2.24","0.07","0.000","","20","3.133","251.886","true","monoclinic",""
"mp-771664","Li2VNiO4","P2/m","-2.078","0.072","1.701","","8","4.26","73.099","true","monoclinic",""
"mp-769829","Li5V2Ni5O12","C2","-1.791","0.075","1.223","","24","4.78","216.101","true","monoclinic",""
"mp-776203","Li2V3NiO8","Cm","-2.212","0.082","0.000","","14","3.888","150.914","true","monoclinic",""
"mp-773925","Li4V3NiO8","C2/m","-2.278","0.083","0.000","","16","4.074","149.712","true","monoclinic",""
