No.,compound,valence,RA(pm)Ⅻ,RB(pm)Ⅵ,RA/RB,polA,polB,polA-polB,negA,negB,negB-negA,NegA(Bau),NegB(Bau),Neg(B-A),ZA,ZB,RA(ai),RB(ai),ZA/RA,ZB/RB,(ZA/RA)/(ZB/RB),(ZA/RA)+(ZB/RB),Y,C
48,PrCrO3,3 3,143.00,75.50,1.89,0.97,0.38,0.59,1.26,1.66,0.40,1.20,1.60,0.40,3.05,3.45,1.43,0.76,2.13,4.57,0.47,6.70,F,1
49,YCrO3,3 3,136.00,75.50,1.80,0.55,0.38,0.17,1.21,1.66,0.45,1.20,1.60,0.40,3.25,3.45,1.36,0.76,2.39,4.57,0.52,6.96,F,1
50,"Pb(Co,W)1/2 O3",2 2 6,163.00,81.25,2.01,2.00,0.37,1.63,1.24,1.80,0.56,1.60,1.85,0.25,8.10,5.13,1.63,0.81,4.97,6.31,0.79,11.28,F,1
51,"Ba(Bi,U)1/2 O3",2 5 3,175.00,103.50,1.69,1.55,0.75,0.80,1.01,1.60,0.60,0.90,1.85,0.95,2.90,6.25,1.75,1.04,1.66,6.04,0.27,7.70,F,1
52,"Tl(Zr,W)1/2 O3",1 4 6,184.00,80.00,2.30,3.13,0.33,2.81,1.10,1.80,0.71,1.40,1.75,0.35,7.30,4.60,1.84,0.80,3.97,5.75,0.69,9.72,F,1
53,CdHfO3,2 4,145.00,85.00,1.71,1.09,0.49,0.60,1.32,1.57,0.25,1.70,1.40,-0.30,6.40,4.60,1.45,0.85,4.41,5.41,0.82,9.83,F,1
54,"Cd(Fe,Nb)1/2 O3",2 3 5,145.00,78.25,1.85,1.09,0.30,0.79,1.32,1.73,0.41,1.70,1.75,0.05,6.40,4.00,1.45,0.78,4.41,5.11,0.86,9.53,F,1
55,"Cd(Sc,Nb)1/2 O3",2 3 5,145.00,83.25,1.74,1.09,0.27,0.82,1.32,1.54,0.23,1.70,1.50,-0.20,6.40,3.38,1.45,0.83,4.41,4.05,1.09,8.47,F,1
56,"Cd(Cr,Nb)1/2 O3",2 3 5,145.00,76.75,1.89,1.09,0.32,0.77,1.32,1.72,0.40,1.70,1.65,-0.05,6.40,3.53,1.45,0.77,4.41,4.59,0.96,9.01,F,1
57,"Cd(Mg1/3,Nb2/3) O3",2 2 5,145.00,80.67,1.80,1.09,0.21,0.88,1.32,1.58,0.27,1.70,1.53,-0.17,6.40,3.37,1.45,0.81,4.41,4.17,1.06,8.59,F,1
58,"Pb(Cr,Nb)1/2 O3",2 3 5,163.00,76.75,2.12,2.00,0.32,1.68,1.24,1.72,0.48,1.60,1.65,0.05,8.10,3.53,1.63,0.77,4.97,4.59,1.08,9.56,F,1
59,"Pb(Li1/4,Sc1/4,W1/2) O3",2 1 3 6,163.00,81.63,2.00,2.00,0.22,1.78,1.24,1.63,0.39,1.60,1.56,-0.04,8.10,4.01,1.63,0.82,4.97,4.92,1.01,9.89,F,1
60,"Pb(Li1/4,Fe1/4,W1/2) O3",2 1 3 6,163.00,79.13,2.06,2.00,0.23,1.77,1.24,1.72,0.48,1.60,1.69,0.09,8.10,4.33,1.63,0.79,4.97,5.47,0.91,10.44,F,1
61,"Pb(Li1/4,Co1/4,W1/2) O3",2 1 3 6,163.00,78.25,2.08,2.00,0.22,1.78,1.24,1.74,0.50,1.60,1.66,0.06,8.10,4.39,1.63,0.78,4.97,5.61,0.89,10.58,F,1
62,"Pb(Li1/4,In1/4,W1/2) O3",2 1 3 6,163.00,83.00,1.96,2.00,0.33,1.67,1.24,1.66,0.42,1.60,1.69,0.09,8.10,4.88,1.63,0.83,4.97,5.87,0.85,10.84,F,1
63,"Pb(Li1/4,Y1/4,W1/2) O3",2 1 3 6,163.00,85.50,1.91,2.00,0.28,1.72,1.24,1.60,0.36,1.60,1.54,-0.06,8.10,4.04,1.63,0.86,4.97,4.72,1.05,9.69,F,1
64,"Pb(Li1/4,Tb1/4,W1/2) O3",2 1 3 6,163.00,86.08,1.89,2.00,0.35,1.65,1.24,1.63,0.39,1.60,1.56,-0.04,8.10,4.06,1.63,0.86,4.97,4.72,1.05,9.69,F,1
65,"Pb(Li1/4,Yb1/4,W1/2) O3",2 1 3 6,163.00,84.70,1.92,2.00,0.32,1.68,1.24,1.62,0.38,1.60,1.54,-0.06,8.10,4.13,1.63,0.85,4.97,4.87,1.02,9.84,F,1
