No.,compound,valence,RA(pm)Ⅻ,RB(pm)Ⅵ,RA/RB,polA,polB,polA-polB,negA,negB,negB-negA,NegA(Bau),NegB(Bau),Neg(B-A),ZA,ZB,RA(ai),RB(ai),ZA/RA,ZB/RB,(ZA/RA)/(ZB/RB),(ZA/RA)+(ZB/RB),Y
29,CdZrO3,2 4,145,86,1.68604651162791,1.09,0.37,0.72,1.318,1.476,0.158,1.7,1.5,-0.2,6.4,3.6,1.45,0.86,4.41379310344828,4.18604651162791,1.0544061302682,8.59983961507618,P
30,SrPbO3,2 4,158,91.5,1.72677595628415,0.86,0.618,0.242,1.004,1.557,0.553,1,1.8,0.8,2.9,8.1,1.58,0.915,1.83544303797468,8.85245901639344,0.207337083919362,10.6879020543681,P
31,SrSnO3,2 4,158,83,1.90361445783133,0.86,0.499,0.361,1.004,1.583,0.579,1,1.9,0.9,2.9,7.4,1.58,0.83,1.83544303797468,8.91566265060241,0.205867259664728,10.7511056885771,P
32,SrZrO3,2 4,158,86,1.83720930232558,0.86,0.37,0.49,1.004,1.476,0.472,1,1.5,0.5,2.9,3.6,1.58,0.86,1.83544303797468,4.18604651162791,0.438466947960619,6.02148954960259,P
33,KUO3,1 5,178,90,1.97777777777778,0.839,0.767,0.072,0.897,,,0.8,,,2.2,3.6,1.78,0.9,1.23595505617978,4,0.308988764044944,5.23595505617978,P
34,BaSnO3,2 4,175,83,2.10843373493976,1.55,0.499,1.051,1.005,1.583,0.578,0.9,1.9,1,2.9,7.4,1.75,0.83,1.65714285714286,8.91566265060241,0.185868725868726,10.5728055077453,P
35,BaThO3,2 4,175,108,1.62037037037037,1.55,0.857,0.693,1.005,1.4,0.395,0.9,1.4,0.5,2.9,4,1.75,1.08,1.65714285714286,3.7037037037037,0.447428571428571,5.36084656084656,P
36,"Ba(Sb,In)1/2 O3",2 5 3,175,84,2.08333333333333,1.55,0.545,1.005,1.005,1.604,0.599,0.9,1.9,1,2.9,7.4,1.75,0.84,1.65714285714286,8.80952380952381,0.188108108108108,10.4666666666667,P
37,BaUO3,2 4,175,103,1.69902912621359,1.55,0.767,0.783,1.005,1.4,0.395,0.9,1.4,0.5,2.9,3.6,1.75,1.03,1.65714285714286,3.49514563106796,0.474126984126984,5.15228848821082,P
38,"Ba(Bi,Bi)1/2 O3",2 3 5,175,103.5,1.69082125603865,1.55,1.0985,0.4515,1.005,1.599,0.594,0.9,1.8,0.9,2.9,8.9,1.75,1.035,1.65714285714286,8.59903381642512,0.192712680577849,10.256176673568,P
39,"Ba(U,Ba)1/2 O3",2 6 2,175,118,1.48305084745763,1.55,1.025,0.525,1.005,1.4525,0.4475,0.9,1.4,0.5,2.9,3.25,1.75,1.18,1.65714285714286,2.75423728813559,0.60167032967033,4.41138014527845,P
40,"Ba(W,Ba)1/2 O3",2 6 2,175,111.5,1.5695067264574,1.55,0.915,0.635,1.005,1.5685,0.5635,0.9,1.45,0.55,2.9,4.25,1.75,1.115,1.65714285714286,3.81165919282511,0.434756302521008,5.46880204996797,P
41,"Ba(Ni,W)1/2 O3",2 2 6,175,78.5,2.22929936305732,1.55,0.333,1.217,1.005,1.817,0.812,0.9,1.9,1,2.9,5.25,1.75,0.785,1.65714285714286,6.68789808917197,0.24778231292517,8.34504094631483,P
42,BaZrO3,2 4,175,86,2.03488372093023,1.55,0.37,1.18,1.005,1.476,0.471,0.9,1.5,0.6,2.9,3.6,1.75,0.86,1.65714285714286,4.18604651162791,0.395873015873016,5.84318936877076,P
43,"(K,Bi)1/2Zr O3",1 3 4,162.5,86,1.88953488372093,1.2895,0.37,0.9195,1.1475,1.476,0.3285,1.3,1.5,0.2,5.55,3.6,1.625,0.86,3.41538461538462,4.18604651162791,0.815897435897436,7.60143112701252,P
44,SrHfO3,2 4,158,85,1.85882352941176,0.86,0.494,0.366,1.004,1.568,0.564,1,1.4,0.4,2.9,4.6,1.58,0.85,1.83544303797468,5.41176470588235,0.339157952669235,7.24720774385704,P
45,SrMnO3,2 4,158,67,2.35820895522388,0.86,0.234,0.626,1.004,1.953,0.949,1,1.4,0.4,2.9,4.15,1.58,0.67,1.83544303797468,6.19402985074627,0.296324538660973,8.02947288872095,P
,,,,,,,,,,,,,,,,,,,,,,,
